"31,
0.067","31,
0.067","31,
0.067","31,
0.067","31,
0.067","31,
0.067","31,
0.067","31,
0.071","31,
0.092","31,
0.218","31,
0.313"
"35,
0.059","35,
0.059","35,
0.059","35,
0.059","35,
0.059","35,
0.059","35,
0.064","35,
0.082","35,
0.114","35,
0.226","35,
0.383"
"46,
0.044","46,
0.044","46,
0.044","46,
0.044","46,
0.044","46,
0.044","46,
0.045","46,
0.075","46,
0.133","46,
0.243","46,
0.388"
"68,
0.030","68,
0.030","68,
0.030","68,
0.031","68,
0.033","68,
0.035","68,
0.043","68,
0.085","68,
0.128","68,
0.234","68,
0.368"
"96,
0.021","96,
0.021","96,
0.021","96,
0.022","96,
0.025","96,
0.028","96,
0.057","96,
0.096","96,
0.141","96,
0.260","96,
0.404"
"172,
0.012","172,
0.013","172,
0.014","172,
0.016","172,
0.021","172,
0.026","172,
0.059","172,
0.099","172,
0.144","172,
0.254","172,
0.401"
"367,
0.007","367,
0.008","367,
0.011","367,
0.016","367,
0.026","367,
0.032","367,
0.066","367,
0.106","367,
0.154","367,
0.271","367,
0.424"
"651,
0.005","651,
0.008","651,
0.013","651,
0.017","651,
0.027","651,
0.034","651,
0.068","651,
0.109","651,
0.156","651,
0.272","651,
0.426"
"1452,
0.006","1452,
0.010","1452,
0.014","1452,
0.019","1452,
0.029","1452,
0.036","1452,
0.071","1452,
0.113","1452,
0.161","1452,
0.280","1452,
0.438"
"2286,
0.007","2286,
0.010","2286,
0.014","2286,
0.019","2286,
0.030","2286,
0.036","2286,
0.072","2286,
0.114","2286,
0.163","2286,
0.282","2286,
0.441"
